project,node,count
emscripten,ExplicitTemplateInstantiation,90
emscripten,UnaryExpression,208266
emscripten,TemplateSpecialization,93
emscripten,BaseSpecifier,756
emscripten,ASMDeclaration,1
emscripten,TemplatedTypeTemplateParameter,7
emscripten,NamespaceDefinition,207
emscripten,BreakStatement,5969
emscripten,TryBlockStatement,35
emscripten,CompositeTypeSpecifier,4418
emscripten,ReferenceOperator,10969
emscripten,LambdaExpression,117
emscripten,DoStatement,707
emscripten,ArrayDeclarator,10714
emscripten,TypeIdInitializerExpression,924
emscripten,ConditionalExpression,3514
emscripten,SimpleTypeConstructorExpression,274
emscripten,FunctionWithTryBlock,3
emscripten,RangeBasedForStatement,97
emscripten,ElaboratedTypeSpecifier,5548
emscripten,ArrayModifier,12629
emscripten,FieldReference,218268
emscripten,NewExpression,1934
emscripten,LabelStatement,4573
emscripten,TemplateDeclaration,584
emscripten,CatchHandler,44
emscripten,InitializerList,60602
emscripten,IfStatement,40441
emscripten,UsingDeclaration,177
emscripten,Pointer,100360
emscripten,CastExpression,33572
emscripten,FieldDeclarator,190
emscripten,ParameterDeclaration,106954
emscripten,TypeId,43558
emscripten,Enumerator,4577
emscripten,ConstructorChainInitializer,2127
emscripten,CaseStatement,10127
emscripten,PointerToMember,19
emscripten,CompoundStatementExpression,2
emscripten,NamespaceAlias,1
emscripten,SimpleDeclaration,133917
emscripten,Problem,41491
emscripten,TypeIdExpression,3988
emscripten,DeleteExpression,1468
emscripten,SimpleDeclSpecifier,110381
emscripten,GotoStatement,6771
emscripten,ConstructorInitializer,5870
emscripten,ConversionName,22
emscripten,QualifiedName,15462
emscripten,UsingDirective,90
emscripten,TemplateId,2790
emscripten,NamedTypeSpecifier,193104
emscripten,VisibilityLabel,1798
emscripten,WhileStatement,1929
emscripten,BinaryExpression,261107
emscripten,StaticAssertionDeclaration,33
emscripten,EqualsInitializer,43660
emscripten,FunctionDefinition,29272
emscripten,ProblemDeclaration,12203
emscripten,ExpressionStatement,216610
emscripten,OperatorName,1417
emscripten,FunctionDeclarator,58011
emscripten,SimpleTypeTemplateParameter,688
emscripten,Capture,26
emscripten,NullStatement,7481
emscripten,DeclarationStatement,68506
emscripten,ProblemExpression,308
emscripten,Declarator,264928
emscripten,ProblemStatement,28980
emscripten,AliasDeclaration,14
emscripten,DefaultStatement,654
emscripten,Name,1489841
emscripten,FunctionCallExpression,178997
emscripten,SwitchStatement,1109
emscripten,EnumerationSpecifier,546
emscripten,CompoundStatement,73161
emscripten,ReturnStatement,29940
emscripten,ContinueStatement,682
emscripten,TranslationUnit,4429
emscripten,ForStatement,9265
emscripten,PackExpansionExpression,20
emscripten,IdExpression,757937
emscripten,LiteralExpression,612879
emscripten,ArraySubscriptExpression,74606
emscripten,LinkageSpecification,330
emscripten,ExpressionList,3989
git,UnaryExpression,47111
git,NamespaceDefinition,2
git,BreakStatement,1518
git,CompositeTypeSpecifier,693
git,ReferenceOperator,14
git,DoStatement,234
git,ArrayDeclarator,1587
git,ConditionalExpression,1216
git,ElaboratedTypeSpecifier,14872
git,ArrayModifier,1600
git,FieldReference,39864
git,LabelStatement,270
git,InitializerList,1502
git,IfStatement,21090
git,Pointer,28752
git,CastExpression,2555
git,FieldDeclarator,289
git,ParameterDeclaration,21312
git,TypeId,3126
git,Enumerator,754
git,CaseStatement,1388
git,SimpleDeclaration,23896
git,Problem,1176
git,TypeIdExpression,571
git,SimpleDeclSpecifier,32818
git,GotoStatement,770
git,NamedTypeSpecifier,6407
git,WhileStatement,1264
git,BinaryExpression,56787
git,EqualsInitializer,9071
git,FunctionDefinition,6608
git,ProblemDeclaration,534
git,ExpressionStatement,45570
git,FunctionDeclarator,9038
git,NullStatement,629
git,DeclarationStatement,15501
git,ProblemExpression,49
git,Declarator,46064
git,ProblemStatement,593
git,DefaultStatement,226
git,Name,319676
git,FunctionCallExpression,45810
git,SwitchStatement,337
git,EnumerationSpecifier,152
git,CompoundStatement,18143
git,ReturnStatement,10491
git,ContinueStatement,1123
git,TranslationUnit,547
git,ForStatement,2033
git,IdExpression,202431
git,LiteralExpression,54136
git,ArraySubscriptExpression,7030
git,LinkageSpecification,4
git,ExpressionList,212
How-to-Make-a-Computer-Operating-System,UnaryExpression,1676
How-to-Make-a-Computer-Operating-System,BaseSpecifier,15
How-to-Make-a-Computer-Operating-System,ASMDeclaration,44
How-to-Make-a-Computer-Operating-System,NamespaceDefinition,1
How-to-Make-a-Computer-Operating-System,BreakStatement,199
How-to-Make-a-Computer-Operating-System,CompositeTypeSpecifier,101
How-to-Make-a-Computer-Operating-System,ReferenceOperator,2
How-to-Make-a-Computer-Operating-System,DoStatement,14
How-to-Make-a-Computer-Operating-System,ArrayDeclarator,99
How-to-Make-a-Computer-Operating-System,ConditionalExpression,38
How-to-Make-a-Computer-Operating-System,ElaboratedTypeSpecifier,187
How-to-Make-a-Computer-Operating-System,ArrayModifier,99
How-to-Make-a-Computer-Operating-System,FieldReference,1507
How-to-Make-a-Computer-Operating-System,NewExpression,33
How-to-Make-a-Computer-Operating-System,LabelStatement,6
How-to-Make-a-Computer-Operating-System,InitializerList,12
How-to-Make-a-Computer-Operating-System,IfStatement,736
How-to-Make-a-Computer-Operating-System,Pointer,2035
How-to-Make-a-Computer-Operating-System,CastExpression,537
