node-type,count
<Name>,73145947
<IdExpression>,38650866
<LiteralExpression>,26964048
<Declarator>,11498684
:function-call,9995760
:field-reference,9028017
<ExpressionStatement>,8820689
<NamedTypeSpecifier>,6774109
<SimpleDeclaration>,6106314
<SimpleDeclSpecifier>,4892222
<ParameterDeclaration>,4786307
<Pointer>,4303291
:assign,4171993
<CompoundStatement>,4036159
<IfStatement>,2975467
<DeclarationStatement>,2905405
<FunctionDeclarator>,2667093
<ReturnStatement>,2238956
:bracketedPrimary,1972916
<ElaboratedTypeSpecifier>,1961915
<EqualsInitializer>,1851262
:qualified-name,1793556
<FunctionDefinition>,1764223
<InitializerList>,1587277
:amper,1409998
<TypeId>,1360327
:array-subscript,1220563
:equals,1039245
:minus,876022
<Problem>,809574
:not,749204
<CaseStatement>,706473
<ReferenceOperator>,637129
:lessThan,614411
:plus,601928
:cast,596661
:star,575032
<ProblemDeclaration>,568245
:notequals,532914
:logicalAnd,530125
<DesignatedInitializer>,525798
<TemplateId>,469312
<BreakStatement>,469039
<Enumerator>,455477
:binaryAnd,413550
<ArrayModifier>,368547
:shiftLeft,364941
<ArrayDeclarator>,358656
:greaterThan,351972
<ConstructorInitializer>,341136
:logicalOr,340835
:postFixIncr,336631
<TranslationUnit>,324701
:binaryOr,315936
<CompositeTypeSpecifier>,315595
<ForStatement>,298880
:multiply,244859
<GotoStatement>,242945
<ProblemStatement>,193791
<ConstructorChainInitializer>,187729
<SimpleTypeTemplateParameter>,184959
:plusAssign,172640
:conditional,157272
:binaryOrAssign,148396
:sizeof,142751
<TypeIdExpression>,122170
:prefixIncr,121634
<VisibilityLabel>,117551
:greaterEqual,114747
<LabelStatement>,110822
<SwitchStatement>,110769
<TemplateDeclaration>,103547
<NullStatement>,103021
:divide,97144
<FieldDeclarator>,96572
:shiftRight,94756
<WhileStatement>,94655
:tilde,87412
<DoStatement>,85922
:lessEqual,85226
<DefaultStatement>,82825
<NamespaceDefinition>,82167
<ContinueStatement>,76345
:expression-list,72914
<BaseSpecifier>,65781
:binaryAndAssign,59155
<EnumerationSpecifier>,56686
:new,50216
<OperatorName>,42548
:minusAssign,39625
:postFixDecr,38844
:modulo,26618
<RangeBasedForStatement>,25832
<UsingDeclaration>,23189
:prefixDecr,20464
:binaryXor,16054
<UsingDirective>,16020
:delete,13730
<StaticAssertionDeclaration>,13161
<TemplateSpecialization>,12079
<ASMDeclaration>,11387
<LambdaExpression>,10535
<SimpleTypeConstructorExpression>,10286
:multiplyAssign,9179
<CompoundStatementExpression>,8743
<AliasDeclaration>,8481
<LinkageSpecification>,7892
:shiftRightAssign,7060
:binaryXorAssign,6892
<ProblemExpression>,5694
<ExplicitTemplateInstantiation>,5668
<Capture>,5546
:shiftLeftAssign,5323
:divideAssign,4881
<PointerToMember>,4385
<TypeIdInitializerExpression>,3893
<CatchHandler>,3876
<ConversionName>,3510
<TryBlockStatement>,2795
:throw,2426
<PackExpansionExpression>,2010
<UnaryExpression>,1851
<TemplatedTypeTemplateParameter>,1383
:moduloAssign,1215
<BinaryExpression>,1125
:pmarrow,1008
:pmdot,603
<NamespaceAlias>,380
<FunctionWithTryBlock>,93
<ProblemTypeId>,13
