selection,parent-type,node-type,child-type,count
parens,<ArrayModifier>,bracketedPrimary,plusAssign,3
parens,shiftLeft,bracketedPrimary,divide,499
superfluous-parens,binaryAnd,bracketedPrimary,binaryAnd,285
superfluous-parens,array-subscript,bracketedPrimary,postFixIncr,7
superfluous-parens,binaryXor,bracketedPrimary,not,20
parens,shiftLeft,bracketedPrimary,assign,14
parens,assign,bracketedPrimary,binaryXorAssign,4
operator-precedence,shiftRight,tilde,minus1,1
superfluous-parens,logicalAnd,bracketedPrimary,logicalAnd,428
parens,shiftLeft,bracketedPrimary,<TypeIdInitializerExpression>,2
parens,<SimpleDeclSpecifier>,bracketedPrimary,postFixIncr,1
operator-precedence,divide,plus1,<LiteralExpression>,1
superfluous-parens,assign,bracketedPrimary,shiftRight,1387
superfluous-parens,delete,bracketedPrimary,prefixIncr,1
superfluous-parens,logicalAnd,bracketedPrimary,greaterThan,4746
parens,<SimpleDeclSpecifier>,bracketedPrimary,cast,19
superfluous-parens,shiftRight,bracketedPrimary,field-reference,128
superfluous-parens,assign,bracketedPrimary,shiftRightAssign,10
superfluous-parens,greaterEqual,bracketedPrimary,plus2,725
parens,binaryAnd,bracketedPrimary,notequals,47
parens,shiftRight,bracketedPrimary,minusAssign,7
parens,bracketedPrimary,bracketedPrimary,pmdot,1
parens,array-subscript,bracketedPrimary,logicalAnd,1
parens,<EqualsInitializer>,bracketedPrimary,binaryOr,302
parens,logicalOr,bracketedPrimary,greaterThan,4076
operator-precedence,multiply,minus1,field-reference,52
operator-precedence,lessThan,tilde,<IdExpression>,10
superfluous-parens,minusAssign,bracketedPrimary,multiply,176
parens,lessEqual,bracketedPrimary,binaryOr,44
parens,expression-list,bracketedPrimary,multiply,4
superfluous-parens,pmdot,bracketedPrimary,array-subscript,8
parens,<ExpressionStatement>,bracketedPrimary,new,1
parens,<Enumerator>,bracketedPrimary,conditional,25
parens,expression-list,bracketedPrimary,assign,80
parens,plus2,bracketedPrimary,binaryXor,168
operator-precedence,binaryXor,not,bracketedPrimary,44
parens,greaterThan,bracketedPrimary,expression-list,11135
parens,binaryAndAssign,bracketedPrimary,greaterEqual,1
parens,lessThan,bracketedPrimary,greaterThan,10
superfluous-parens,tilde,bracketedPrimary,minus1,5
parens,conditional,bracketedPrimary,conditional,2255
parens,<ConstructorInitializer>,bracketedPrimary,equals,6
operator-precedence,equals,minus1,<LiteralExpression>,2
superfluous-parens,expression-list,bracketedPrimary,binaryAnd,40
parens,logicalAnd,bracketedPrimary,binaryOr,54
