CWE_TYPE,CWE_ID,CWE_NAME
CWE,5,"J2EE Misconfiguration: Data Transmission Without Encryption"
CWE,6,"J2EE Misconfiguration: Insufficient Session-ID Length"
CWE,7,"J2EE Misconfiguration: Missing Custom Error Page"
CWE,8,"J2EE Misconfiguration: Entity Bean Declared Remote"
CWE,9,"J2EE Misconfiguration: Weak Access Permissions for EJB Methods"
CWE,11,"ASP.NET Misconfiguration: Creating Debug Binary"
CWE,12,"ASP.NET Misconfiguration: Missing Custom Error Page"
CWE,13,"ASP.NET Misconfiguration: Password in Configuration File"
CWE,14,"Compiler Removal of Code to Clear Buffers"
CWE,15,"External Control of System or Configuration Setting"
CWE,20,"Improper Input Validation"
CWE,22,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CWE,23,"Relative Path Traversal"
CWE,24,"Path Traversal: '../filedir'"
CWE,25,"Path Traversal: '/../filedir'"
CWE,26,"Path Traversal: '/dir/../filename'"
CWE,27,"Path Traversal: 'dir/../../filename'"
CWE,28,"Path Traversal: '..\filedir'"
CWE,29,"Path Traversal: '\..\filename'"
CWE,30,"Path Traversal: '\dir\..\filename'"
CWE,31,"Path Traversal: 'dir\..\..\filename'"
CWE,32,"Path Traversal: '...' (Triple Dot)"
CWE,33,"Path Traversal: '....' (Multiple Dot)"
CWE,34,"Path Traversal: '....//'"
CWE,35,"Path Traversal: '.../...//'"
CWE,36,"Absolute Path Traversal"
CWE,37,"Path Traversal: '/absolute/pathname/here'"
CWE,38,"Path Traversal: '\absolute\pathname\here'"
CWE,39,"Path Traversal: 'C:dirname'"
CWE,40,"Path Traversal: '\\UNC\share\name\' (Windows UNC Share)"
CWE,41,"Improper Resolution of Path Equivalence"
CWE,42,"Path Equivalence: 'filename.' (Trailing Dot)"
CWE,43,"Path Equivalence: 'filename....' (Multiple Trailing Dot)"
CWE,44,"Path Equivalence: 'file.name' (Internal Dot)"
CWE,45,"Path Equivalence: 'file...name' (Multiple Internal Dot)"
CWE,46,"Path Equivalence: 'filename ' (Trailing Space)"
CWE,47,"Path Equivalence: ' filename' (Leading Space)"
CWE,48,"Path Equivalence: 'file name' (Internal Whitespace)"
CWE,49,"Path Equivalence: 'filename/' (Trailing Slash)"
CWE,50,"Path Equivalence: '//multiple/leading/slash'"
CWE,51,"Path Equivalence: '/multiple//internal/slash'"
CWE,52,"Path Equivalence: '/multiple/trailing/slash//'"
CWE,53,"Path Equivalence: '\multiple\\internal\backslash'"
CWE,54,"Path Equivalence: 'filedir\' (Trailing Backslash)"
CWE,55,"Path Equivalence: '/./' (Single Dot Directory)"
CWE,56,"Path Equivalence: 'filedir*' (Wildcard)"
CWE,57,"Path Equivalence: 'fakedir/../realdir/filename'"
CWE,58,"Path Equivalence: Windows 8.3 Filename"
CWE,59,"Improper Link Resolution Before File Access ('Link Following')"
CWE,61,"UNIX Symbolic Link (Symlink) Following"
CWE,62,"UNIX Hard Link"
CWE,64,"Windows Shortcut Following (.LNK)"
CWE,65,"Windows Hard Link"
CWE,66,"Improper Handling of File Names that Identify Virtual Resources"
CWE,67,"Improper Handling of Windows Device Names"
CWE,69,"Improper Handling of Windows ::DATA Alternate Data Stream"
CWE,72,"Improper Handling of Apple HFS+ Alternate Data Stream Path"
CWE,73,"External Control of File Name or Path"
CWE,74,"Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"
CWE,75,"Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)"
CWE,76,"Improper Neutralization of Equivalent Special Elements"
CWE,77,"Improper Neutralization of Special Elements used in a Command ('Command Injection')"
CWE,78,"Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CWE,79,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CWE,80,"Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)"
CWE,81,"Improper Neutralization of Script in an Error Message Web Page"
CWE,82,"Improper Neutralization of Script in Attributes of IMG Tags in a Web Page"
CWE,83,"Improper Neutralization of Script in Attributes in a Web Page"
CWE,84,"Improper Neutralization of Encoded URI Schemes in a Web Page"
CWE,85,"Doubled Character XSS Manipulations"
CWE,86,"Improper Neutralization of Invalid Characters in Identifiers in Web Pages"
CWE,87,"Improper Neutralization of Alternate XSS Syntax"
CWE,88,"Argument Injection or Modification"
CWE,89,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CWE,90,"Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')"
CWE,91,"XML Injection (aka Blind XPath Injection)"
CWE,93,"Improper Neutralization of CRLF Sequences ('CRLF Injection')"
CWE,94,"Improper Control of Generation of Code ('Code Injection')"
CWE,95,"Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')"
CWE,96,"Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')"
CWE,97,"Improper Neutralization of Server-Side Includes (SSI) Within a Web Page"
