author-name,rev-str,file,added-atoms,added-non-atoms
hubicka,133,131,82,2716
doko,6,81,13,665
lkrupp,2,4,0,0
fxcoudert,3,8,0,0
drepper,1,1,0,0
prakhar,1,2,0,0
jason,157,64,13,666
law,85,75,13,748
koenigni,8,5,0,0
pthaugen,9,6,0,9
prachigodbole,4,5,0,2
jkratoch,1,5,0,9
jyong,6,17,1,10
vehre,14,12,0,129
acsawdey,14,12,2,37
andreast,8,9,0,0
renlin,4,9,17,126
amker,93,46,9,518
kristerw,4,5,0,0
pmderodat,6,6,2,21
redi,195,532,42,17332
gjl,30,30,10,340
ro,27,972,1,204
walt,1,1,0,0
tnfchris,35,32,6,418
naveenh,12,15,0,42
collison,10,15,0,73
cltang,1,18,26,467
jamborm,26,32,11,296
wilson,10,24,1,299
marxin,185,238,48,3158
seurer,1,2,0,0
eager,2,3,0,0
kelvin,17,55,0,148
kyukhin,10,43,28,2291
jb,9,30,12,588
uros,122,156,43,4067
rguenth,261,182,55,1897
krebbel,67,70,6,796
abutcher,1,2,0,0
clyon,12,81,7,466
jcmvbkbc,4,3,0,13
andrewjenner,1,2,0,0
rdapp,1,2,0,0
tkoenig,41,290,4,119
kkojima,2,4,0,0
thopre01,36,65,4,124
gerald,70,59,0,18
smlobo,3,7,0,0
vekumar,1,1,0,0
rearnsha,50,50,37,2154
davids,1,2,0,0
clm,1,13,0,0
bernds,8,5,0,0
wilco,30,17,1,45
ktkachov,31,21,0,39
dgilmore,1,1,0,0
trippels,11,14,0,49
emsr,1,2,0,0
ppalka,1,2,0,0
egallager,1,2,0,0
edlinger,16,47,10,316
pault,11,5,0,0
tbsaunde,31,26,2,148
jbeulich,1,1,0,0
mpf,18,14,0,54
reichelt,19,18,0,8
hainque,26,24,1,25
tschwinge,27,96,219,4529
jgreenhalgh,18,24,1,124
sandra,13,11,0,75
amonakov,15,22,12,372
danglin,21,44,0,26
meissner,39,86,23,1900
bergner,16,42,0,49
davem,2,3,0,2
visit0r,5,12,13,224
mrs,1,2,0,0
mpolacek,92,70,7,351
foreese,5,5,2,21
miyuki,4,3,3,108
ygribov,5,7,3,163
claziss,44,20,0,92
saaadhu,10,15,0,101
carll,33,19,0,1349
dominiq,18,91,0,0
ian,146,892,215,19132
schwab,9,12,0,0
aoliva,20,34,13,723
mkuvyrkov,5,4,1,44
yroux,1,2,0,0
rth,2,3,0,0
torvald,2,11,6,92
aldyh,7,14,17,648
hjl,20,25,0,32
cesar,2,4,0,0
jemarch,2,22,0,306
dj,6,12,2,53
aburgess,6,8,0,26
vmakarov,21,6,10,215
munroesj,7,33,0,0
dansan,3,15,0,11
gccadmin,225,1,0,0
fdumont,13,162,24,8
segher,89,66,0,37
ibuclaw,10,3,1,95
jvdelisle,19,22,1,168
vapier,1,2,0,0
dmalcolm,67,95,56,1948
jakub,362,1735,82,2363
jiwang,10,26,1,86
timshen,5,4,0,291
aivchenk,2,2,0,0
jconner,3,9,0,20
amodra,10,24,0,13
matz,1,3,0,12
ebotcazou,85,50,3,34
jsm28,63,74,1,45
nsz,4,7,0,2
sje,6,16,0,12
msebor,96,139,50,683
vries,86,1046,6,365
aph,1,3,0,0
sh,8,31,0,0
wschmidt,42,100,1,146
willschm,18,24,0,19
nickc,3,4,0,0
dje,21,25,3,28
kargl,4,5,0,0
ak,2,4,0,0
chefmax,19,27,0,112
palves,2,6,1,9
palmer,17,35,0,22
nathan,187,103,26,1223
paulhua,2,2,0,0
aldot,1,2,0,0
mark,4,2,0,0
rsandifo,37,67,9,966
paolo,41,23,1,86
glisse,15,16,4,69
pinskia,22,27,2,84
ville,19,37,6,1243
prathamesh3492,9,8,2,128
tomtab,10,16,0,0
avieira,6,16,0,82
janus,12,6,0,2
sylvestre,3,4,0,0
macro,1,4,0,0
ramana,5,7,0,0
charlet,269,443,35,12710
