author-name,rev-str,file,added-atoms,added-non-atoms
hubicka,133,131,246,8148
doko,6,81,39,1995
lkrupp,2,4,0,0
fxcoudert,3,8,0,0
drepper,1,1,0,0
prakhar,1,2,0,0
jason,172,85,152,5425
law,93,85,81,3966
koenigni,8,5,0,0
pthaugen,10,7,0,43
prachigodbole,4,5,0,6
jkratoch,1,5,0,27
jyong,6,17,3,30
vehre,14,12,0,387
acsawdey,14,12,6,111
andreast,8,9,0,0
renlin,5,10,51,412
amker,94,47,28,1566
kristerw,4,5,0,0
pmderodat,6,6,6,63
redi,198,537,126,51996
gjl,32,31,30,1020
ro,27,972,3,612
walt,1,1,0,0
tnfchris,38,35,22,1268
naveenh,12,15,0,126
collison,10,15,0,219
cltang,1,18,78,1401
jamborm,27,33,34,906
wilson,10,24,3,897
marxin,193,259,237,15323
seurer,1,2,0,0
eager,2,3,0,0
kelvin,17,55,0,444
kyukhin,10,43,84,6873
jb,9,30,36,1764
uros,137,285,141,12823
rguenth,293,250,431,13764
krebbel,68,71,18,2388
abutcher,1,2,0,0
clyon,12,81,21,1398
jcmvbkbc,4,3,0,39
andrewjenner,1,2,0,0
rdapp,1,2,0,0
tkoenig,42,291,12,357
kkojima,2,4,0,0
thopre01,37,66,12,372
gerald,71,60,0,54
smlobo,3,7,0,0
vekumar,1,1,0,0
rearnsha,50,50,111,6462
davids,1,2,0,0
clm,1,13,0,0
bernds,8,5,0,0
wilco,34,20,7,169
ktkachov,31,21,0,117
dgilmore,1,1,0,0
trippels,11,14,0,147
emsr,1,2,0,0
ppalka,1,2,0,0
egallager,1,2,0,0
edlinger,18,49,30,954
pault,11,5,0,0
tbsaunde,31,26,6,444
jbeulich,1,1,0,0
mpf,18,14,0,162
reichelt,19,18,0,24
hainque,28,24,3,75
tschwinge,27,96,657,13587
jgreenhalgh,19,24,3,372
sandra,13,11,0,225
amonakov,19,26,41,1214
danglin,24,47,0,78
meissner,45,103,70,5781
bergner,16,42,0,147
davem,2,3,0,6
visit0r,5,12,39,672
mrs,1,2,0,0
mpolacek,96,73,41,1371
foreese,5,5,6,63
miyuki,4,3,9,324
ygribov,5,7,9,489
claziss,51,24,59,2198
saaadhu,10,15,0,303
carll,33,19,0,4047
dominiq,18,91,0,0
ian,155,895,651,57620
schwab,9,12,0,0
aoliva,20,34,39,2169
mkuvyrkov,5,4,3,132
yroux,2,3,0,0
rth,2,3,0,0
torvald,2,11,18,276
aldyh,10,16,52,1973
hjl,21,27,1,203
cesar,2,4,0,0
jemarch,2,22,0,918
dj,6,12,6,159
aburgess,6,8,0,78
vmakarov,21,6,30,645
munroesj,10,34,0,0
dansan,8,23,6,344
gccadmin,243,1,0,0
fdumont,14,162,72,24
segher,90,67,1,152
ibuclaw,10,3,3,285
jvdelisle,21,27,6,547
vapier,1,2,0,0
dmalcolm,71,104,169,6151
jakub,373,13154,273,7630
jiwang,10,26,3,258
timshen,5,4,0,873
aivchenk,2,2,0,0
jconner,3,9,0,60
amodra,11,25,0,49
matz,1,3,0,36
ebotcazou,96,58,32,639
jsm28,65,76,11,367
nsz,4,7,0,6
sje,7,19,0,36
msebor,98,142,154,2190
vries,87,1047,18,1105
aph,1,3,0,0
sh,9,31,0,0
wschmidt,47,102,22,1333
willschm,20,24,0,57
nickc,5,6,0,0
dje,22,26,9,186
kargl,4,5,0,0
ak,2,4,0,0
chefmax,19,27,0,336
palves,2,6,3,27
palmer,17,35,0,66
nathan,213,117,221,7229
paulhua,2,2,0,0
aldot,1,2,0,0
mark,4,2,0,0
rsandifo,147,396,994,25203
paolo,42,26,3,294
glisse,15,16,12,207
pinskia,22,27,6,252
ville,20,38,18,3730
prathamesh3492,9,8,6,384
tomtab,10,16,0,0
avieira,6,16,0,246
janus,13,8,1,19
sylvestre,3,4,0,0
jbeniston,1,3,0,1
macro,1,4,0,0
ramana,5,7,0,0
charlet,302,484,109,41632
