author-name,rev-str,file,added-atoms,added-non-atoms
Samuel Mendoza-Jonas,3,3,2,43
Sylvain Lesne,2,1,0,78
Gregory CLEMENT,2,5,7,201
Gustavo Romero,1,1,0,0
Alexander Duyck,1,1,2,151
Petr Mladek,1,1,0,0
Vitaly Mayatskikh,1,1,1,26
Paul Burton,5,4,0,31
Sabrina Dubroca,3,4,1,31
Philipp Zabel,1,1,1,14
Jussi Laako,1,1,0,6
Eryu Guan,6,9,9,179
Hans Verkuil,2,5,0,77
Masami Hiramatsu,1,1,0,0
Milan Broz,1,1,0,29
Petr Machata,4,2,6,194
Dmitry Torokhov,7,9,19,323
Subash Abhinov Kasiviswanathan,2,2,1,7
Kalle Valo,2,16,24,512
Rob Clark,4,5,3,48
Bernd Edlinger,1,1,0,8
Mark D Rustad,1,1,1,18
Tejun Heo,1,1,1,55
Mathias Nyman,2,2,0,23
Peng Xu,1,1,0,36
Ben Skeggs,2,2,2,18
Jérôme Glisse,1,1,0,7
Bryant G. Ly,1,1,0,3
Zhen Lei,1,1,1,47
Phil Elwell,1,1,0,8
Emiliano Ingrassia,1,1,0,0
Mohammed Gamal,1,2,0,4
Mark Santaniello,1,1,0,0
Johannes Weiner,3,4,1,14
Vlad Buslov,1,1,1,7
Stephen Boyd,1,1,0,0
Bjørn Mork,1,1,0,7
Matthew Garrett,1,4,0,0
Adrian Hunter,2,1,1,116
Ido Schimmel,2,2,1,62
Johannes Berg,3,3,14,266
Jean Delvare,4,1,0,7
Stefan Chulski,1,1,0,37
Jiri Olsa,3,2,2,24
Alexander Potapenko,1,1,1,17
Kai-Heng Feng,2,3,0,7
Kirill A. Shutemov,1,1,0,0
Jon Maloy,2,2,2,23
Ladi Prosek,3,3,1,31
Christophe JAILLET,5,3,0,28
Jerome Brunet,3,1,4,70
Changbin Du,1,1,2,69
Cyril Bur,1,1,0,36
Olof Johansson,8,33,0,60
Martin Wilck,2,2,1,7
Olaf Hering,1,1,0,21
Ben Hutchings,1,2,2,111
Jan Luebbe,1,2,0,0
Raed Salem,1,3,0,50
Stefan Berger,1,1,0,0
Ross Lagerwall,1,1,0,16
Jason Gerecke,1,1,1,10
Chunfeng Yun,1,1,0,4
Steve French,2,2,4,106
Cyrill Gorcunov,1,1,0,0
Josef Bacik,7,3,5,120
Ingo Molnar,34,43,61,2145
Nickey Yang,1,1,0,0
Alexei Starovoitov,2,4,3,41
Kamalesh Babulal,2,2,0,18
Archit Taneja,2,2,0,0
Kelvin Cheung,1,1,0,7
Jeff Lance,1,1,0,0
Parthasarathy Bhuvaragan,1,1,0,0
Stefan Mätje,1,1,0,3
Lucas Stach,2,2,2,136
Vasundhara Volam,1,1,0,3
Liu Bo,7,5,2,62
