:project,:all-nodes,:non-atoms,:operator-precedence,:omitted-curly-braces,:implicit-predicate,:conditional,:preprocessor-in-statement,:logic-as-control-flow,:post-increment,:repurposed-variable,:assignment-as-value,:comma-operator,:pre-increment,:type-conversion,:literal-encoding,:macro-operator-precedence,:reversed-subscript
linux,78757141,77439581,555452,570565,143299,53874,40085,33862,23461,21381,17527,8325,5500,3201,2675,494,0
freebsd,76779090,75741579,256235,528778,72499,58481,92179,73127,25459,24270,43904,33037,8312,2568,1710,1359,2
gecko-dev,43274783,42930794,115529,122117,13134,29027,37237,37911,12663,10956,13168,15557,2858,2363,1377,1133,0
gcc,33466986,32929723,110741,215568,128546,79764,4964,38819,10478,14243,8170,8516,2197,9609,1358,19,32
webkit,15081419,14937775,35688,71575,5347,10172,13859,17070,2649,2877,2398,4105,1218,688,276,362,4
mongo,12635600,12538099,21474,47775,1953,6775,2291,11166,3409,2797,4584,3135,2418,284,192,87,0
clang,10177857,10006694,43234,69303,37182,31703,1253,11921,748,2197,1431,2105,4535,1306,20,61,15
mysql-server,9840835,9737142,24025,45514,6398,6931,2193,9227,4290,1941,8568,5025,964,475,140,395,0
subversion,2717036,2693808,4529,14615,414,1915,995,1350,322,287,465,100,87,7,12,19,0
emacs,1359693,1330562,6648,13892,1824,2070,429,2989,1461,984,1298,1250,238,388,209,1,0
git,1205550,1177705,6611,15727,2798,1291,192,1937,759,612,835,217,224,8,0,27,0
httpd,1027265,1016524,2947,2272,1408,1304,988,1332,607,120,1496,148,128,234,0,51,0
nginx,730659,726250,3485,1,50,309,17,236,641,150,28,63,81,0,0,0,0
vim,644955,630928,2683,7857,1328,662,253,1198,946,342,467,69,177,10,4,0,2
