date,post-increment,preprocessor-in-statement,operator-precedence,all-nodes,literal-encoding,omitted-curly-braces,pre-increment,logic-as-control-flow,reversed-subscript,comma-operator,rev-str,project,type-conversion,repurposed-variable,macro-operator-precedence,non-atoms,implicit-predicate,conditional,assignment-as-value
2017-01-01,1001,78,15029,7873791,31,52879,683,64,0,2474,db5a978ce9cc54b661448a4621add40d5608a2a7,webkit,305,803,71,7796034,1169,6192,645
2016-01-01,836,43,12658,6508907,28,49576,605,55,0,1453,e2dbca91f0a682b53739be403a567b1a61bc81eb,webkit,297,743,37,6438339,1091,5538,623
2015-01-01,716,47,12016,5997206,24,46612,537,54,0,1160,dac25a43fc37f1b4592f76dfe7c18df13224af7b,webkit,296,763,11,5930730,914,5395,577
2014-01-01,742,46,10580,5761553,23,44928,494,49,0,933,41632b61ff42fed6424e8a4b022a6cdb8fc080b9,webkit,375,757,111,5698250,1008,5201,573
2013-01-01,760,45,10699,6331948,22,50107,553,51,0,988,ba68e9715ac5e695f105cbb6a3a1cf4e9b5422d1,webkit,389,808,234,6262756,997,5292,720
2012-01-01,661,35,9267,5323262,28,42242,558,51,0,643,b906afa6b2788d43ba6b41e89f8f8d5a62d39388,webkit,379,808,214,5264664,642,4489,677
2011-01-01,687,31,7765,4346103,24,35407,524,54,0,412,9d7dff1af02f9e53f4b05a18cb3747409a519799,webkit,354,757,114,4296662,834,3687,589
2010-01-01,557,27,5849,2970897,5,26662,467,36,0,370,87a094d262070624f003311c18efa30ab259fae6,webkit,262,550,93,2933686,562,2675,479
2009-01-01,495,23,4689,2282732,5,21237,605,28,0,160,e6d672f6006eb7d7959860a5e76594cccdb5ad4d,webkit,182,421,9,2252960,520,2143,441
2008-01-01,507,15,4140,1813447,5,16578,245,30,0,137,c8da90b92ebec1b1853ae6a75b3ac1103bd11a2c,webkit,150,348,9,1789770,445,1741,430
2007-01-01,545,13,4257,1518050,15,12945,181,24,0,117,63a634e5699e2ea14abaaa732aa1126bfc501185,webkit,138,409,10,1497727,1110,1194,492
2006-01-03,372,12,2394,1114011,5,9072,112,20,0,219,07d080359b391dceaab8ced08a3d7fef74288e39,webkit,104,244,3,1100580,258,951,425
2005-01-03,404,6,2150,1375029,10,8592,122,34,0,68,9ad47676c7657cc5fffda8e981184a2cef5af59a,webkit,59,195,0,1362706,320,828,365
2004-01-05,352,8,1797,781935,0,7191,121,34,0,64,b4ec4b16ec0beb91d059c7758184c6550bd1dc2a,webkit,38,190,0,771644,270,615,352
2003-01-01,338,5,1503,656740,0,6273,114,33,0,60,c594b671a011ab027f6bd8841d6f7d960d45aa84,webkit,31,156,0,647909,235,430,311
2002-01-07,218,0,1466,977070,0,11226,46,18,0,58,d0036af6b9135f0104672f0561abaf3e6b6404b9,webkit,50,218,0,963058,305,592,374
2017-01-02,554,140,2049,541922,0,6537,160,81,2,38,ded2782783f352201ac0b05c6dbe4831adb4a58b,vim,5,293,5,531411,957,519,452
2016-01-01,171,31,501,265165,0,1871,37,19,2,19,8f79acdf7ede2693fbda53c3c9693f16db4f193b,vim,1,88,0,262133,284,141,204
2015-01-07,166,31,499,263165,0,1864,37,19,2,19,abe382cd2ac032827d7ef286f3c19b21e85f30d4,vim,1,88,0,260149,283,140,204
2014-01-05,164,31,480,254719,0,1812,34,16,2,19,3f1138e8aefc91768cd3d94b4d15671204c117c3,vim,1,94,0,251792,284,133,199
2013-01-17,165,29,443,237718,0,1585,34,13,2,18,8754deb3b622186ff5efa0e5547a392aaed6a1c7,vim,1,87,0,235274,144,119,89
2012-01-04,162,29,417,230069,0,1526,32,13,2,18,79a2a49c5a2c973d14923894b63582d749774b94,vim,1,76,0,227716,143,117,88
2011-01-04,162,29,425,235138,0,1572,32,13,2,18,d91f704b030647fbaf6eedcb6492f2c231ad635a,vim,1,76,0,232722,153,117,91
2010-01-06,162,28,411,230717,0,1510,32,13,2,17,6f9770137369e00bdad6fe9dcfe282cac4dd8c40,vim,1,75,0,228373,157,117,93
2009-01-06,167,31,423,237474,0,1598,32,13,2,19,238b8e20bb3c659a7350ab4dbf04d05a56ab2d13,vim,1,78,0,235021,160,117,96
2008-01-01,167,31,426,237668,0,1595,32,13,2,19,ee3f7a51c8a2eadde419971cb5a9e01336752a52,vim,1,78,0,235214,160,117,97
2007-01-09,167,31,425,237004,0,1588,32,13,2,19,df88dda91c2f436f4cf2360d27a306efc0087e4f,vim,1,78,0,234558,160,116,97
2006-01-12,168,31,422,244077,0,1677,33,13,2,24,4770d09abd866bb53d95895dc6a5c5fe7cccb619,vim,1,78,0,241539,168,117,100
2005-01-02,186,33,462,257043,0,1761,36,13,2,24,3411469dd2a23fddc4fc0be1a79a58a7a05160e4,vim,6,82,0,254347,171,118,105
2017-01-01,311,68,4296,2632389,0,14131,87,24,0,108,a7425cf5cf0203d044d88b133ef78979973f44c4,subversion,7,284,19,2611270,455,1749,465
2016-01-04,309,68,4102,2523688,0,13668,82,24,0,98,7e219da72b8a85314a59fc46ca7da82d3813640f,subversion,7,284,19,2503236,450,1684,497
2015-01-01,292,60,3683,2355036,0,12944,80,25,0,81,6cad015fb20f6142edb26ca8b9ff315fbbafd892,subversion,5,265,0,2335913,435,1581,484
2014-01-01,289,59,3590,2294354,0,12760,84,26,0,78,cccfae257604aef1c7730c2b1e4c8703a9862c44,subversion,6,265,0,2275559,441,1528,522
2013-01-01,223,56,2489,1663411,0,10770,59,24,0,56,10451b69fd30412cb9827f303c049ddf6738afe8,subversion,7,194,0,1648053,470,1194,497
2012-01-01,215,72,2207,1531292,0,10084,58,24,0,52,2ebbd5f0d4662fdeb125ecf798c6b68ee4ba6918,subversion,2,142,0,1517071,352,1116,449
2011-01-01,207,73,1863,1428067,0,9396,47,24,0,37,cd909e1151c0ffd2aaaf81a1206c9833b78b716c,subversion,2,127,0,1414977,317,1042,449
2010-01-01,206,71,1708,1315526,0,8933,40,24,0,41,d1e18e99273d3dc8b7e26a9403fe519375533f6e,subversion,2,118,0,1303124,266,1028,438
2009-01-01,192,65,1562,1210724,0,8656,41,26,0,38,55c43d3ae0aa0357f0ae320618262dedab53bf2e,subversion,2,103,0,1198744,252,1069,446
2008-01-02,148,61,1389,1075206,0,7602,34,25,0,34,6ba659cfa940fcd58326d6272e7e58cef2618087,subversion,2,90,0,1064669,214,936,408
2007-01-01,145,40,1167,934825,0,6075,27,23,0,30,33a935e94615911a7a5625cead76853a9f3804cf,subversion,2,69,0,926220,180,855,338
2006-01-02,135,39,900,823759,0,5637,23,20,0,28,0a29ffed0e286f625308bac5cd4ee8b108612c19,subversion,2,54,0,815954,207,769,316
2005-01-01,132,26,708,663739,0,4503,19,22,0,23,36f9664adae7a2ab5c47ca0beb68e162b6ddb6fa,subversion,2,47,0,657448,207,638,247
2004-01-01,115,27,554,539118,0,3708,13,12,0,21,a4031af1894b9ba16c101aa21ccbde8617698684,subversion,2,47,0,533956,173,523,186
2003-01-01,96,19,376,447555,0,3191,10,9,0,19,a2d1ca76106e49d52fd12382c1f4ebc839df83dc,subversion,2,39,0,443276,219,353,166
2002-01-02,120,15,361,353329,0,2783,14,7,0,21,e936c4646e4c4909fdafcbfb1aec5526d1bf4612,subversion,1,19,0,349751,182,181,72
2001-01-03,85,10,317,161119,0,1712,12,3,0,21,8aa8da9d89938dac4a9e1514730336d112b5fc6f,subversion,0,17,0,158877,95,91,43
2017-01-10,626,0,3369,695234,0,2,82,7,0,65,72060f4ec87b50994e5b667b14215795120d906c,nginx,0,149,0,691178,49,310,12
2016-01-11,599,0,3107,628566,0,1,68,6,0,54,65af9b8be2c865b157ca02f08131d79e422fef68,nginx,0,131,0,624862,37,269,9
2015-01-13,562,0,2803,571741,0,2,64,6,0,36,2754fd3c803cce0ae7caf1a2ce2ada7e88e60b1b,nginx,0,120,0,568364,34,269,9
2014-01-03,526,0,2659,545546,0,2,61,5,0,36,9a72030c2507a635d9c17a76a992cec21067dbcf,nginx,0,108,0,542354,31,252,9
2013-01-08,515,0,2562,515891,0,2,56,6,0,35,ff2e3042236e3bf522090d5b07f5f895a4cef921,nginx,0,103,0,512824,33,235,9
2012-01-10,517,0,2481,497417,0,2,59,6,0,33,d55ce18c953ed46893f531e2d1ba6e4db6f7399d,nginx,0,99,0,494442,30,227,9
2011-01-20,529,0,2331,469356,0,2,56,6,0,31,6586e821082d291c45068b208fad6ed360d95b44,nginx,0,94,0,466535,30,214,12
2010-01-01,506,0,2126,448702,0,2,55,6,0,31,571ebe28d66e5f58d53f4adb820facf6012aba9a,nginx,0,93,0,446099,24,214,12
2009-01-12,488,0,1919,409137,0,2,47,6,0,32,19961d20ceb90d7b3a7b0b7276974d88affe722e,nginx,0,84,0,406802,16,174,20
2008-01-03,447,0,1709,371390,0,2,42,5,0,35,deb073e2ca000c395c1b20eff0e09dd446238a2a,nginx,0,71,0,369312,19,145,20
2007-01-01,351,0,1369,317263,0,2,30,5,0,28,db05d33c6a508ede143626e9da7b0b9155e1cb51,nginx,0,63,0,315600,21,108,20
2006-01-11,337,0,1300,286096,0,2,31,4,0,26,243edbb727c49ac25355e109a097f1ca2d9e1e44,nginx,0,64,0,284517,17,96,27
2005-01-18,306,0,849,202911,0,4,19,4,0,12,02025fd6bdfa997f521c3b26a08aeba366308e84,nginx,0,44,0,201532,20,86,281
2004-01-05,127,0,441,125376,0,8,14,0,0,10,3c3ca1735815a4e495922b50b01a258016c93d4b,nginx,0,13,0,124650,43,53,113
2003-01-09,51,0,115,38483,0,63,7,0,0,6,4e9393a0548d783cd6f50d1fcd003c85a24b2b16,nginx,0,8,0,38183,14,22,51
2002-08-06,3,0,26,9536,0,53,2,0,0,5,6de5c2cb63f8aee4bcbec3c363a72fd8e4a4e64d,nginx,0,4,0,9407,2,1,40
2017-01-03,2590,70,13004,4677021,6,22870,596,439,0,2642,e7a3ccf6b1b1b41e0fa191d26e9e775517c6deee,mysql-server,574,1175,86,4625621,3541,3806,6012
2016-01-04,3877,147,21929,8426612,12,36580,820,724,0,4567,a48e25f50dcf98a8889bd5997432651a7f950c2e,mysql-server,477,1873,325,8344411,5988,6133,7915
2015-02-02,3437,110,20387,7730895,11,33972,767,686,0,4040,13c9217d2aeca56b2b85fe254751662768f523fe,mysql-server,475,1621,295,7654150,5922,5627,7754
2014-01-01,6,0,21,48067,0,57,5,0,0,4,f5e875a675dd068cea78b47f86d4c81a0f4516b2,mysql-server,0,5,0,47943,7,30,3
2013-01-01,2776,64,12923,4877823,6,21633,570,440,0,2516,f5f40badc5aa189ef902907f60ea8f24e22bf5db,mysql-server,656,1150,84,4827989,3460,3643,5974
2012-01-02,2614,78,13922,5041292,4,24139,617,469,0,2794,99e9ef0f1de44451ef0ff88c79af6589ea751a8c,mysql-server,556,1200,86,4987036,3710,4068,6330
2011-01-03,2923,70,13947,5606997,7,24214,587,490,0,2742,ef70fac64c926caf4993c7d8e16004ff1b630803,mysql-server,858,1226,144,5551228,4661,4012,6406
2010-01-03,2906,72,13732,5422762,7,23626,575,483,0,2715,8920b6948a6620f4aa82956c3876b2b8dce0c39f,mysql-server,851,1194,102,5368566,4315,3840,6188
2009-01-02,121,8,857,384869,0,59,38,4,0,22,e940107e2db5ca1e5bd5e22dd852f5d8064d9d74,mysql-server,1,73,0,383628,51,80,86
2008-01-01,2616,60,11973,4479193,7,21238,519,413,0,2527,b46b16080961e9aa7d316f85a9e2302026367343,mysql-server,678,1066,83,4431424,3279,3479,5760
2007-01-01,2005,25,8453,3661548,1,16499,461,326,0,1447,0255a1c9c2155d7beeb76517d1a9770789960369,mysql-server,619,911,10,3625821,2152,2495,4683
2006-01-02,2499,39,10599,4249802,6,19200,525,358,0,2184,7ce1981bbd58507a8f0a770bac738dd649482474,mysql-server,626,1025,31,4206807,2666,3082,5530
2005-01-01,2107,26,8586,3697979,1,16455,431,329,0,1449,a7c2a9e0b80a03c1f00859def121d09934b229aa,mysql-server,574,891,10,3662112,2174,2423,4753
2004-02-01,1570,26,6193,1858060,0,10225,354,254,0,953,2a9cd37cd69e70dfbfe868b635bc21c8996d8fb7,mysql-server,537,628,7,1834406,792,1547,3800
2003-01-01,1592,24,5923,1722258,0,9735,356,240,0,947,aedd600401585b0719d64acae560836d6fc83c12,mysql-server,447,609,9,1699752,780,1404,3576
2002-01-02,1514,27,5167,1569203,0,8110,328,174,0,770,cb8bb9a84c17ed91b9b26719a6984606d55a35c0,mysql-server,392,532,0,1549890,678,1219,3146
2001-01-01,1452,14,4600,947143,0,7319,238,155,0,750,e05df20dc5e5791d1725ffe9add9b813b69a67c0,mysql-server,367,455,0,929813,533,1129,2793
2000-08-01,1408,14,4414,904921,0,6844,224,144,0,733,b1fc59a4fe78b78e5a969bedb516c8ba3ab32164,mysql-server,330,444,0,888520,485,1063,2655
2017-01-03,3095,177,17652,11502526,182,39665,918,500,0,3295,f96f0ea2279962f31b18af1232ef11acfcb9f932,mongo,284,2774,85,11428757,1827,5684,3832
2016-01-04,1636,152,27920,9407914,186,35973,686,250,0,2618,b8b3c3f5962aea2931df2b8807de35d2a9ff87aa,mongo,266,1654,92,9332274,2039,4312,2301
2015-01-01,1580,259,26673,11400050,151,25433,852,235,0,2774,6a7bf01c38aaea4bb4fe5121186a6030cff3ea3c,mongo,242,1959,303,11336292,1881,4454,1930
2014-01-01,944,109,5300,5983774,125,14846,496,68,0,792,04221630900335fc6ee0d9922edae9d29f02d66d,mongo,203,825,42,5958611,926,2107,476
2013-01-01,1109,198,6399,5998249,126,16908,575,113,0,844,5e4b69b88e39180a527871e44efc4911a44a4d6e,mongo,265,1025,117,5969142,971,2283,678
2012-01-02,609,107,3099,1209930,1,7389,226,69,0,173,7341d9441ff64a1081a969429799c5ab0e5c15eb,mongo,171,428,97,1196614,685,907,406
2011-01-01,330,17,1034,693244,0,3759,110,19,0,79,c2e0253554254055bea67d0d38f50cb1e96d0c63,mongo,102,186,97,686963,589,392,119
2010-01-02,295,16,741,417100,0,2708,82,18,0,74,fcf2d5721c4e233009e12b0db325b164327db377,mongo,62,139,48,412472,522,270,92
2009-01-02,263,7,492,176153,0,1683,73,15,0,42,babed9805003410eee2d3202dea7d1d5eb446ec1,mongo,16,122,4,173014,470,190,74
2008-01-20,443,9,2473,3658554,0,4762,331,48,0,685,a186665dd792aabe3f2cba60880e2d8f1b5017fb,mongo,26,644,3,3648809,456,772,376
2007-10-19,2,0,10,7101,0,23,1,0,0,0,e73188b5512c82290a4070af4afddac20d0b981e,mongo,0,0,0,7059,5,3,0
2010-01-01,14741,1340,219504,35251571,1139,253622,3477,1325,1,6024,ee5f4d9cdf32fd99172d11665c592a288c2b1ff4,linux-historical,1757,12582,352,34691172,65063,20786,15227
2009-02-01,12548,1126,180531,29457006,511,208425,2985,1236,1,5195,4fb669948116d928ae44262ab7743732c574630d,linux-historical,1349,11071,327,28992108,55255,17447,14814
2008-01-01,11608,1045,147716,24561658,367,174539,2703,1239,1,4979,961d57c883198831503c7be5c088a26101dfb16c,linux-historical,1180,9717,287,24171322,47663,14917,15296
2007-01-01,11232,842,130315,22340946,342,157025,2550,1260,1,5129,86b67ef7518d1fcd4489dc464d4c33a274a1c635,linux-historical,1027,9177,231,21989009,42796,13737,15760
2006-01-01,10293,814,110009,19954690,330,135246,2275,1267,1,4806,557962a926c62a9c4bd79d6b36df873d4f8c51ef,linux-historical,986,8746,257,19650159,36092,12639,15664
2005-01-01,9287,760,94986,17833726,327,120496,2145,1205,1,4578,a0e6d673910e01f06dfb0e19909096bc1ff59f0f,linux-historical,869,8120,211,17564406,31810,11107,14668
2004-01-01,9421,640,84998,16195160,305,114688,2114,1286,2,4765,3f9b352c4bb16c3e82c2fd285c385e56cac59c96,linux-historical,878,8663,271,15942327,29277,11023,14644
2003-01-01,8945,531,76986,15068225,297,107876,1914,1216,4,4573,babe9b6a5b7dd39899f7b2b1e5f3b27e7a616c8d,linux-historical,853,8083,264,14833432,26862,10498,13704
2002-01-14,7592,444,55123,10960012,239,80985,1630,975,4,2758,45a555a612820a67faaacfb40091e0027f5e44b4,linux-historical,739,6535,243,10785754,20025,7989,10350
2001-01-04,6777,391,45851,9028422,225,68689,1540,845,3,2096,01de81a64c79360910ddfe0260f1cee9ce8a9263,linux-historical,581,5781,204,8881824,16275,6631,9069
2000-01-04,5505,298,35472,6899175,222,55681,1371,709,3,1741,009fd2ba27e4c3477e073db70b95ffe322817262,linux-historical,493,4720,179,6781586,13552,5529,7384
1999-01-01,4160,184,21697,4456222,133,37308,1009,566,2,1158,433874c987c6e61c42364c2da75a1af35c7dd029,linux-historical,303,3126,100,4379558,9155,3390,4953
1998-01-02,3147,155,15581,3468481,97,29209,778,468,2,780,0c7975c1bdf8ea1f8a72b67d62c986a603389762,linux-historical,266,2383,86,3409997,6793,2551,4145
1997-01-02,2064,129,9252,2619255,48,22197,603,306,2,555,1bf1a4b5d4cc61cff18a1248d313e732815f57ea,linux-historical,190,1661,113,2577892,5062,1704,3238
1996-01-01,1330,83,5551,1526373,38,15010,384,224,0,487,0f2d93c27ff4f7ae2528e66ddc5dcd8d25180b19,linux-historical,142,973,73,1499210,3204,1118,2420
1995-01-01,734,45,2984,775489,15,8856,253,132,0,471,1d8e3b93c6d2caab7decf3da0f26278d7714c316,linux-historical,61,503,6,759748,1761,566,1462
1994-02-02,537,38,2220,572693,2,6627,168,110,0,367,2117de47865ce5a011b70b3fb2752f312dda4783,linux-historical,45,387,0,561003,1261,349,1130
1993-01-01,309,15,1101,288677,2,3136,61,77,0,41,f330dc1a986443e671621a04f981a2c67eb09fc4,linux-historical,27,231,0,282943,558,159,666
1992-01-15,108,0,217,63769,0,942,35,16,0,24,eb619203065fb78cb27270be426853057d6f472a,linux-historical,5,73,0,62131,129,37,228
1991-09-17,73,0,134,34945,0,543,31,15,0,10,9417d4148f0ddc5ee2cc1114ce97c71c5e4cb4b7,linux-historical,1,65,0,33948,68,18,151
2037-04-25,14253,1282,210299,33517713,1092,243367,3380,1290,1,5551,12ca45fea91cfbb09df828bea958b47348caee6d,linux,1661,12332,345,32979407,62959,19663,15079
2030-08-14,11729,1081,161516,25874111,422,190676,2821,1226,1,4900,09f2724a786f76475ef2985cf84f5359c553aade,linux,1289,10258,352,25450881,51438,15992,14730
2019-04-05,9513,788,100122,18539448,332,125086,2193,1211,1,4692,a27ac38efd6dc6dccebfc9bcc475ab4aa5fc4a56,linux,912,8370,259,18258696,33348,11613,14988
2017-02-01,20732,2135,479934,68442618,1536,519317,5243,1771,0,8159,920b4530fb80430ff30ef83efe21ba1fa5623731,linux,2428,19409,487,67301646,127325,39487,16803
2016-01-31,19940,2079,443946,63978462,1521,483489,5083,1713,1,7859,676787939ef8ccfcf8039104f766ebe5ebe23924,linux,2317,18829,451,62916795,117230,37083,16563
2015-01-01,18986,1897,408068,58588240,1492,443070,4905,1660,1,7660,8b324fa6915bf4ad7d28e58a5a004f16e470e58d,linux,2279,17875,422,57612404,106556,33891,16102
2014-01-31,18371,1781,382760,55842222,1692,417083,4771,1622,1,7786,338f977f4eb441e69bb9a46eaa0ac715c931a67f,linux,2226,17006,333,54921797,100232,31950,17036
2013-01-01,17397,1656,332287,49860665,1583,367713,4518,1540,1,6711,41147bfdc5c0d6acb39d2b3b8a4eb6ffb08e4b42,linux,2278,15721,336,49049706,90804,28598,16045
2012-01-31,16506,1534,283750,44332258,1516,325965,4236,1456,1,6859,5f7b6d19723427a1d406c9640fe6f48fa97b5e1a,linux,2122,14901,357,43621313,78892,26314,14845
2011-01-01,15466,1403,250613,40006493,1406,288361,3897,1437,1,7790,2f32c867219734b06abc980d4812f67b6d6fe517,linux,1857,13985,351,39372854,71556,23295,15249
2010-01-01,14760,1347,219848,35303353,1139,254050,3484,1323,1,6021,f8ec9d6837241865cf99bed97bb99f4399fd5a03,linux,1758,12595,355,34742022,65212,20798,15224
2009-02-01,12548,1126,180531,29457006,511,208425,2985,1236,1,5195,4fb669948116d928ae44262ab7743732c574630d,linux,1349,11071,327,28992108,55255,17447,14814
2008-01-01,11608,1045,147716,24568785,367,174570,2703,1239,1,4979,961d57c883198831503c7be5c088a26101dfb16c,linux,1180,9721,287,24178414,47663,14917,15296
2007-01-01,11232,842,130315,22340946,342,157025,2550,1260,1,5129,86b67ef7518d1fcd4489dc464d4c33a274a1c635,linux,1027,9177,231,21989009,42796,13737,15760
2006-01-01,10293,814,110009,19954690,330,135246,2275,1267,1,4806,557962a926c62a9c4bd79d6b36df873d4f8c51ef,linux,986,8746,257,19650159,36092,12639,15664
2005-01-06,9532,788,99991,18478260,331,124800,2190,1210,1,4604,14f8351a313f364afbc565f1ddcd43f8cfdccf52,linux,912,8359,259,18198010,33343,11594,14962
2004-07-29,9612,800,101862,18811022,335,127245,2181,1231,1,4611,d2cb1a95c5fa4d1691c90a4f530955b4ea3cfa24,linux,925,8473,280,18525856,33847,11813,15164
2003-02-20,11104,837,128358,22044193,342,154546,2509,1239,1,5069,f35723ec48ca60f2f3493ea40d63a9bc5b585c28,linux,1022,9103,232,21697559,42076,13516,15674
2002-04-09,10971,845,125867,21660261,336,151478,2489,1238,1,4911,0f64478cbc7a008fe7b7e9ae79a73d8a6904ead8,linux,1016,9117,231,21319798,41237,13349,15662
2001-09-17,19756,2000,426777,61441008,1501,464768,4978,1689,1,7647,aebda618718157a69c0dc0adb978d69bc2b8723c,linux,2252,18548,435,60419265,112702,35586,16229
1970-01-01,11560,1030,145210,24145274,367,171714,2689,1239,1,5130,224426f168aa4af3dcb628e6edaa824d32d60e6f,linux,1083,9649,274,23760954,46759,14676,15393
2017-01-02,558,32,2604,898195,0,2161,127,130,0,140,476f3290ebc0c4d88787c0229a0003321544e1a3,httpd,30,115,56,889990,1209,975,1206
2016-01-01,548,30,2484,849445,0,2146,120,122,0,135,c9a0b7fd8bae3272f6b3f8b1c1ca05ac46ba05d4,httpd,20,95,40,841520,1203,975,1140
