date,post-increment,preprocessor-in-statement,operator-precedence,all-nodes,literal-encoding,omitted-curly-braces,pre-increment,logic-as-control-flow,reversed-subscript,comma-operator,rev-str,project,type-conversion,repurposed-variable,macro-operator-precedence,non-atoms,implicit-predicate,conditional,assignment-as-value
2017-01-01,1001,78,15031,7877318,31,52882,683,64,0,482,db5a978ce9cc54b661448a4621add40d5608a2a7,webkit,305,803,71,7800922,1202,6192,645
2016-01-01,836,43,12659,6513777,28,49579,605,55,0,358,e2dbca91f0a682b53739be403a567b1a61bc81eb,webkit,297,743,37,6443895,1141,5538,623
2015-01-01,716,47,12017,6001794,24,46616,537,54,0,282,dac25a43fc37f1b4592f76dfe7c18df13224af7b,webkit,296,763,11,5935882,923,5395,577
2014-01-01,742,46,10581,5766405,23,44930,494,49,0,286,41632b61ff42fed6424e8a4b022a6cdb8fc080b9,webkit,375,757,123,5703531,1021,5201,573
2013-01-01,760,45,10701,6351800,22,50124,556,51,0,441,ba68e9715ac5e695f105cbb6a3a1cf4e9b5422d1,webkit,389,808,342,6282989,1014,5293,720
2012-01-01,661,35,9267,5326971,28,42244,558,51,0,245,b906afa6b2788d43ba6b41e89f8f8d5a62d39388,webkit,379,808,273,5268669,657,4489,677
2011-01-01,687,31,7766,4348990,24,35408,524,54,0,246,9d7dff1af02f9e53f4b05a18cb3747409a519799,webkit,354,757,177,4299678,843,3687,589
2010-01-01,558,27,5851,2973390,5,26663,467,36,0,153,87a094d262070624f003311c18efa30ab259fae6,webkit,262,550,126,2936372,568,2675,479
2009-01-01,496,23,4691,2284924,5,21239,605,28,0,118,e6d672f6006eb7d7959860a5e76594cccdb5ad4d,webkit,182,421,9,2255182,527,2143,441
2008-01-01,508,15,4142,1815040,5,16580,245,30,0,107,c8da90b92ebec1b1853ae6a75b3ac1103bd11a2c,webkit,150,348,9,1791376,447,1741,430
2007-01-01,546,13,4262,1520506,15,12948,181,24,0,105,63a634e5699e2ea14abaaa732aa1126bfc501185,webkit,138,409,10,1500196,1112,1194,492
2006-01-03,372,12,2394,1115273,5,9073,112,20,0,51,07d080359b391dceaab8ced08a3d7fef74288e39,webkit,104,244,3,1102011,258,951,425
