proj,in-function,comment,atom,count
gcc,false,false,omitted-curly-braces,138
mysql-server,true,false,comma-operator,4489
freebsd,true,true,type-conversion,108
clang,true,true,operator-precedence,667
nginx,false,true,,5623
mongo,true,true,logic-as-control-flow,48
linux,true,true,implicit-predicate,2391
linux,false,true,literal-encoding,335
webkit,false,false,conditional,11
freebsd,true,true,preprocessor-in-statement,94
gcc,true,false,,27300142
webkit,false,false,operator-precedence,14
webkit,true,true,conditional,136
subversion,true,true,preprocessor-in-statement,1
freebsd,false,false,literal-encoding,49
mysql-server,false,false,operator-precedence,11
freebsd,true,true,reversed-subscript,2
linux,false,false,macro-operator-precedence,76
freebsd,true,true,,1581515
git,true,false,comma-operator,182
httpd,true,false,omitted-curly-braces,2121
gcc,true,false,comma-operator,4414
gecko-dev,true,true,macro-operator-precedence,25
clang,true,false,type-conversion,693
gcc,false,true,post-increment,6
httpd,true,true,,23717
clang,false,true,operator-precedence,161
gcc,false,false,conditional,400
webkit,false,true,operator-precedence,14
freebsd,true,false,comma-operator,27405
nginx,true,true,operator-precedence,29
gcc,false,false,,4
linux,true,true,type-conversion,97
httpd,true,false,type-conversion,26
clang,true,false,implicit-predicate,1388
gecko-dev,true,false,logic-as-control-flow,846
mongo,false,true,conditional,37
linux,true,false,comma-operator,7484
gecko-dev,false,false,conditional,107
httpd,false,false,conditional,1
freebsd,true,false,conditional,40140
mongo,false,false,assignment-as-value,9
git,true,true,,22610
vim,true,false,repurposed-variable,269
gecko-dev,true,false,literal-encoding,216
gcc,false,false,,4780020
emacs,true,false,literal-encoding,3
mongo,true,true,comma-operator,112
vim,true,false,comma-operator,41
clang,true,false,preprocessor-in-statement,659
freebsd,false,true,conditional,1
webkit,true,false,preprocessor-in-statement,239
git,true,true,comma-operator,4
nginx,true,false,repurposed-variable,148
gcc,true,true,preprocessor-in-statement,10
httpd,true,false,preprocessor-in-statement,29
freebsd,false,false,omitted-curly-braces,18
httpd,true,true,type-conversion,6
mysql-server,false,false,pre-increment,1
mongo,true,true,literal-encoding,96
gecko-dev,false,false,assignment-as-value,1
mysql-server,false,false,implicit-predicate,339
git,true,true,assignment-as-value,24
webkit,false,false,operator-precedence,251
emacs,true,true,type-conversion,6
mongo,false,false,implicit-predicate,1
webkit,false,true,macro-operator-precedence,2
gcc,false,false,type-conversion,68
freebsd,true,true,macro-operator-precedence,4
vim,false,false,operator-precedence,3
linux,false,false,,16696924
gecko-dev,false,false,macro-operator-precedence,463
vim,true,true,operator-precedence,199
freebsd,false,false,post-increment,1
clang,false,true,,211592
clang,true,false,reversed-subscript,9
gcc,false,true,reversed-subscript,2
