proj,in-function,comment,atom,count
subversion,true,true,post-increment,13
gcc,false,false,conditional,456
freebsd,true,true,post-increment,726
linux,true,false,assignment-as-value,16705
gecko-dev,true,false,implicit-predicate,9079
webkit,true,false,conditional,9455
webkit,true,false,literal-encoding,55
gcc,true,false,post-increment,8430
gecko-dev,true,true,repurposed-variable,273
subversion,true,true,repurposed-variable,8
gecko-dev,false,true,operator-precedence,155
gcc,false,false,preprocessor-in-statement,1
linux,true,true,conditional,439
mysql-server,false,false,comma-operator,63
emacs,true,false,preprocessor-in-statement,131
gecko-dev,true,true,operator-precedence,1352
nginx,false,true,,5281
mongo,false,false,assignment-as-value,9
gcc,true,false,implicit-predicate,40528
git,false,true,,4157
subversion,true,false,,2117156
clang,true,false,conditional,4371
linux,false,true,literal-encoding,328
mysql-server,true,true,operator-precedence,589
mysql-server,true,false,operator-precedence,21859
freebsd,true,true,comma-operator,174
linux,true,false,,58063238
freebsd,true,false,operator-precedence,219771
nginx,true,false,conditional,304
emacs,true,true,type-conversion,3
mysql-server,true,true,post-increment,174
emacs,true,false,literal-encoding,3
gecko-dev,true,true,post-increment,420
gcc,false,false,reversed-subscript,1
clang,true,false,preprocessor-in-statement,661
gecko-dev,false,false,comma-operator,444
mongo,false,false,conditional,140
git,true,true,post-increment,10
vim,false,false,implicit-predicate,11
gcc,false,true,,370812
gcc,false,false,,3089562
freebsd,true,false,logic-as-control-flow,3926
webkit,false,false,type-conversion,19
gcc,false,false,operator-precedence,996
linux,true,true,implicit-predicate,1338
freebsd,true,false,type-conversion,1648
mysql-server,true,false,omitted-curly-braces,37642
git,true,false,operator-precedence,6412
git,false,false,repurposed-variable,2
gecko-dev,true,true,type-conversion,74
mongo,true,false,type-conversion,258
clang,true,false,post-increment,614
clang,true,false,comma-operator,1018
nginx,true,true,logic-as-control-flow,1
emacs,true,true,logic-as-control-flow,3
freebsd,true,true,literal-encoding,15
mongo,true,true,implicit-predicate,110
freebsd,true,true,repurposed-variable,495
webkit,true,false,pre-increment,1174
httpd,false,false,implicit-predicate,59
git,true,true,repurposed-variable,8
clang,true,false,pre-increment,255
clang,true,true,literal-encoding,1
nginx,false,false,comma-operator,2
mongo,true,false,repurposed-variable,2637
gcc,false,true,conditional,53
httpd,true,true,operator-precedence,53
mongo,true,true,omitted-curly-braces,3469
webkit,false,false,operator-precedence,268
gecko-dev,false,false,repurposed-variable,795
mysql-server,false,false,,1279064
freebsd,true,false,post-increment,21584
git,true,false,,1003974
vim,false,false,comma-operator,3
freebsd,false,false,omitted-curly-braces,241
freebsd,false,false,conditional,155
clang,true,true,,293892
gcc,true,false,preprocessor-in-statement,1872
mongo,true,false,implicit-predicate,1618
vim,true,false,omitted-curly-braces,6876
freebsd,false,false,,16763967
linux,false,false,operator-precedence,16556
git,true,true,assignment-as-value,12
freebsd,false,true,operator-precedence,130
nginx,true,false,operator-precedence,3405
vim,true,false,comma-operator,41
gcc,true,true,literal-encoding,34
mysql-server,true,false,,7501630
git,true,false,pre-increment,212
httpd,true,false,preprocessor-in-statement,30
gcc,false,true,assignment-as-value,14
gcc,false,true,post-increment,6
subversion,false,false,operator-precedence,14
linux,false,true,operator-precedence,170
mongo,true,false,omitted-curly-braces,37147
webkit,false,false,comma-operator,1297
clang,false,false,reversed-subscript,1
gcc,true,true,logic-as-control-flow,10
freebsd,true,false,comma-operator,15399
subversion,true,false,pre-increment,86
freebsd,true,false,repurposed-variable,22564
webkit,true,false,implicit-predicate,3235
gecko-dev,false,false,macro-operator-precedence,1127
linux,false,false,conditional,89
httpd,true,false,assignment-as-value,1424
clang,true,true,reversed-subscript,5
clang,false,true,conditional,78
webkit,false,true,literal-encoding,6
httpd,true,true,omitted-curly-braces,45
linux,false,false,macro-operator-precedence,472
nginx,true,false,,577304
subversion,true,false,post-increment,303
gcc,true,false,,15162579
mysql-server,true,true,implicit-predicate,119
clang,true,true,pre-increment,110
mongo,true,true,,221345
httpd,true,false,implicit-predicate,1251
mysql-server,true,true,preprocessor-in-statement,10
git,false,false,operator-precedence,3
linux,true,false,omitted-curly-braces,553745
clang,false,false,,1181866
webkit,false,false,implicit-predicate,514
mongo,true,false,conditional,5785
webkit,true,true,repurposed-variable,49
httpd,false,true,,12293
mongo,true,false,comma-operator,791
gecko-dev,true,false,logic-as-control-flow,734
mongo,true,false,preprocessor-in-statement,179
httpd,true,true,conditional,9
linux,true,false,preprocessor-in-statement,2226
gcc,false,true,pre-increment,3
git,true,false,preprocessor-in-statement,13
freebsd,true,false,pre-increment,7560
gcc,true,true,assignment-as-value,247
httpd,true,true,repurposed-variable,1
httpd,true,false,repurposed-variable,119
gcc,false,true,comma-operator,12
clang,false,true,,149898
subversion,true,false,operator-precedence,4323
linux,true,true,operator-precedence,3687
mysql-server,true,false,post-increment,3813
linux,true,true,repurposed-variable,492
linux,true,false,implicit-predicate,131232
subversion,true,true,assignment-as-value,3
webkit,false,false,repurposed-variable,134
nginx,true,false,assignment-as-value,9
emacs,false,false,operator-precedence,11
emacs,false,false,,199280
mysql-server,false,false,literal-encoding,3
gcc,false,false,logic-as-control-flow,48
httpd,false,false,macro-operator-precedence,51
linux,false,false,type-conversion,111
freebsd,false,true,type-conversion,11
gcc,true,true,comma-operator,244
mysql-server,false,false,conditional,7
emacs,true,true,comma-operator,15
git,true,false,type-conversion,7
gecko-dev,true,false,comma-operator,4830
gecko-dev,true,true,implicit-predicate,160
webkit,true,true,,118106
gecko-dev,false,false,operator-precedence,721
gcc,true,false,type-conversion,3787
freebsd,false,false,literal-encoding,55
webkit,true,false,preprocessor-in-statement,239
git,false,false,implicit-predicate,41
subversion,true,false,preprocessor-in-statement,68
emacs,false,true,operator-precedence,3
vim,true,false,logic-as-control-flow,83
git,true,false,logic-as-control-flow,90
webkit,false,false,conditional,67
subversion,true,false,repurposed-variable,279
freebsd,false,true,literal-encoding,83
linux,true,true,pre-increment,97
gecko-dev,false,false,implicit-predicate,1465
webkit,true,false,logic-as-control-flow,133
linux,true,true,preprocessor-in-statement,12
mysql-server,false,true,operator-precedence,4
webkit,true,true,post-increment,36
linux,false,false,post-increment,4
freebsd,true,true,conditional,627
httpd,false,false,,105828
linux,true,true,literal-encoding,53
subversion,true,false,assignment-as-value,462
linux,true,true,logic-as-control-flow,35
git,true,true,logic-as-control-flow,2
clang,false,false,comma-operator,52
gcc,false,true,macro-operator-precedence,1
linux,false,false,pre-increment,5
clang,true,false,,5872873
linux,false,false,logic-as-control-flow,65
freebsd,false,false,operator-precedence,1131
mysql-server,false,false,type-conversion,3
freebsd,false,true,macro-operator-precedence,48
emacs,true,false,,952262
mongo,false,false,omitted-curly-braces,32
git,false,false,,104070
mongo,true,false,operator-precedence,17609
mongo,false,true,type-conversion,1
emacs,true,true,post-increment,34
freebsd,true,false,conditional,40063
mysql-server,true,true,pre-increment,40
nginx,true,false,pre-increment,80
emacs,true,true,pre-increment,3
subversion,true,false,comma-operator,87
subversion,true,true,pre-increment,1
mysql-server,false,false,macro-operator-precedence,380
git,false,false,assignment-as-value,1
emacs,true,true,operator-precedence,107
clang,true,false,omitted-curly-braces,58088
mongo,false,false,implicit-predicate,549
mysql-server,true,false,assignment-as-value,7736
vim,true,true,conditional,15
mysql-server,false,false,pre-increment,1
gecko-dev,true,false,omitted-curly-braces,109358
clang,false,false,implicit-predicate,39
subversion,false,false,macro-operator-precedence,19
emacs,false,false,implicit-predicate,184
vim,true,false,repurposed-variable,299
mongo,false,true,conditional,37
clang,false,true,comma-operator,50
linux,true,true,assignment-as-value,254
emacs,true,false,logic-as-control-flow,200
clang,true,false,logic-as-control-flow,68
freebsd,true,false,,50043646
freebsd,true,true,omitted-curly-braces,8370
webkit,false,false,assignment-as-value,12
linux,true,false,literal-encoding,489
git,false,false,macro-operator-precedence,27
mongo,true,true,operator-precedence,510
httpd,true,false,operator-precedence,2721
mongo,false,true,,178386
linux,true,false,repurposed-variable,19531
gcc,false,true,operator-precedence,129
webkit,true,false,,11079936
gcc,true,false,macro-operator-precedence,1
freebsd,false,false,macro-operator-precedence,1313
emacs,true,true,conditional,13
gecko-dev,false,false,assignment-as-value,15
linux,true,false,type-conversion,2100
