project,comment,atom,count
mongo,true,,538153
subversion,false,macro-operator-precedence,19
httpd,false,macro-operator-precedence,48
httpd,true,post-increment,35
clang,false,operator-precedence,11577
mysql-server,true,logic-as-control-flow,39
freebsd,false,logic-as-control-flow,4054
gcc,false,assignment-as-value,5379
linux,false,type-conversion,2186
vim,false,operator-precedence,2089
clang,false,type-conversion,754
clang,true,type-conversion,460
linux,true,logic-as-control-flow,63
linux,true,operator-precedence,7246
subversion,true,conditional,54
clang,true,post-increment,130
mongo,true,conditional,229
gcc,true,assignment-as-value,334
freebsd,false,comma-operator,29082
webkit,true,assignment-as-value,30
git,true,post-increment,16
mysql-server,true,,534013
subversion,true,operator-precedence,73
linux,true,implicit-predicate,2391
webkit,false,operator-precedence,33565
freebsd,true,assignment-as-value,1257
mysql-server,false,assignment-as-value,7526
git,true,implicit-predicate,32
git,false,macro-operator-precedence,27
freebsd,false,operator-precedence,219881
nginx,false,omitted-curly-braces,1
gecko-dev,true,,1762118
httpd,true,omitted-curly-braces,89
clang,false,,9534864
webkit,false,omitted-curly-braces,68864
gecko-dev,true,logic-as-control-flow,59
git,false,implicit-predicate,2787
subversion,false,implicit-predicate,443
nginx,false,,721857
vim,false,,595692
vim,false,logic-as-control-flow,82
mongo,false,literal-encoding,96
mysql-server,true,literal-encoding,3
linux,false,post-increment,20356
emacs,false,type-conversion,368
mysql-server,true,implicit-predicate,226
clang,false,conditional,4944
gcc,false,omitted-curly-braces,173086
vim,true,,70797
gcc,true,literal-encoding,64
emacs,false,operator-precedence,4279
gcc,false,type-conversion,3826
clang,true,operator-precedence,828
vim,false,post-increment,508
gecko-dev,false,post-increment,9433
subversion,true,type-conversion,1
httpd,false,assignment-as-value,1412
nginx,true,operator-precedence,29
gcc,true,conditional,838
mongo,false,preprocessor-in-statement,175
subversion,true,assignment-as-value,9
mysql-server,true,conditional,243
mysql-server,false,preprocessor-in-statement,220
vim,true,post-increment,91
mysql-server,true,type-conversion,50
webkit,false,assignment-as-value,1788
clang,false,comma-operator,1767
webkit,true,logic-as-control-flow,1
mysql-server,true,operator-precedence,1112
httpd,true,,38751
httpd,false,pre-increment,124
mysql-server,true,assignment-as-value,401
freebsd,false,type-conversion,1853
gecko-dev,false,comma-operator,11812
clang,false,pre-increment,267
gcc,true,comma-operator,306
mysql-server,false,type-conversion,422
gcc,true,preprocessor-in-statement,10
linux,true,conditional,856
mysql-server,true,omitted-curly-braces,2145
gcc,false,pre-increment,1746
freebsd,false,preprocessor-in-statement,4528
linux,false,literal-encoding,1142
gcc,false,preprocessor-in-statement,1872
webkit,true,literal-encoding,11
clang,false,assignment-as-value,1168
emacs,true,type-conversion,6
gcc,false,logic-as-control-flow,952
linux,true,repurposed-variable,705
git,false,repurposed-variable,600
gecko-dev,true,pre-increment,148
mongo,true,omitted-curly-braces,4132
mongo,false,macro-operator-precedence,82
freebsd,true,literal-encoding,113
gcc,true,,1077981
httpd,false,implicit-predicate,1263
mongo,false,assignment-as-value,3961
webkit,false,implicit-predicate,3544
webkit,false,repurposed-variable,2799
webkit,true,type-conversion,16
webkit,false,type-conversion,613
mongo,true,logic-as-control-flow,48
mysql-server,false,logic-as-control-flow,684
gecko-dev,false,type-conversion,1784
freebsd,false,,73872133
emacs,false,,1315213
gecko-dev,true,macro-operator-precedence,99
gecko-dev,false,conditional,22439
gecko-dev,false,literal-encoding,336
mongo,true,preprocessor-in-statement,11
clang,true,macro-operator-precedence,7
nginx,true,,10951
freebsd,true,type-conversion,119
nginx,false,conditional,303
freebsd,false,implicit-predicate,68481
nginx,false,repurposed-variable,148
mongo,true,implicit-predicate,137
gcc,true,reversed-subscript,21
webkit,false,literal-encoding,87
mongo,false,repurposed-variable,2570
webkit,true,conditional,136
mysql-server,true,repurposed-variable,162
httpd,true,conditional,15
git,false,conditional,1205
vim,true,repurposed-variable,73
clang,true,omitted-curly-braces,2257
httpd,true,assignment-as-value,43
httpd,true,operator-precedence,101
subversion,false,assignment-as-value,456
git,false,omitted-curly-braces,15205
linux,false,operator-precedence,511864
emacs,false,macro-operator-precedence,1
httpd,false,omitted-curly-braces,2122
freebsd,true,reversed-subscript,2
emacs,false,repurposed-variable,959
nginx,true,pre-increment,3
freebsd,true,post-increment,1235
clang,false,repurposed-variable,1717
mysql-server,true,macro-operator-precedence,28
nginx,false,pre-increment,78
nginx,false,assignment-as-value,8
gecko-dev,false,repurposed-variable,10486
gcc,true,omitted-curly-braces,4702
emacs,false,omitted-curly-braces,12258
mongo,false,post-increment,2898
gcc,false,macro-operator-precedence,16
vim,true,pre-increment,19
nginx,false,logic-as-control-flow,6
webkit,true,pre-increment,42
vim,false,conditional,574
webkit,false,pre-increment,1158
mongo,false,comma-operator,3369
gecko-dev,false,pre-increment,2640
clang,true,implicit-predicate,590
emacs,false,literal-encoding,3
git,true,,27928
mongo,false,,12196722
gecko-dev,false,implicit-predicate,12364
webkit,true,implicit-predicate,58
subversion,false,operator-precedence,4300
mongo,true,operator-precedence,966
gecko-dev,true,post-increment,675
emacs,false,comma-operator,611
clang,false,macro-operator-precedence,54
clang,true,conditional,727
gecko-dev,false,operator-precedence,95970
subversion,false,post-increment,299
httpd,false,repurposed-variable,117
freebsd,true,repurposed-variable,939
git,true,assignment-as-value,24
gecko-dev,true,preprocessor-in-statement,13
gcc,true,operator-precedence,2279
emacs,true,omitted-curly-braces,386
mysql-server,false,implicit-predicate,5820
mongo,true,repurposed-variable,227
freebsd,false,repurposed-variable,23331
gcc,true,repurposed-variable,720
git,false,comma-operator,186
webkit,true,comma-operator,31
freebsd,true,,3223577
httpd,false,post-increment,547
mongo,false,logic-as-control-flow,434
freebsd,true,pre-increment,325
gecko-dev,true,operator-precedence,2902
