project,domain,date,all-nodes,non-atoms,atoms
linux,os,1991-09-17,3.832479348,0.9832705964,0.01672940362
freebsd,os,1993-06-12,3.736223447,0.9864870631,0.01351293692
gecko-dev,browser,1998-03-28,2.105837135,0.992051052,0.007948948005
gcc,compiler,1988-11-23,1.628570198,0.9839464779,0.01605352212
webkit,browser,2001-08-24,0.7338918875,0.9904754321,0.009524567947
mongo,db,2007-10-19,0.6148734634,0.9922836272,0.007716372788
clang,compiler,2007-07-11,0.4952747937,0.9831828056,0.01681719443
mysql-server,db,2000-07-31,0.4788746319,0.9894629876,0.01053701236
subversion,vcs,2000-03-01,0.1322163835,0.9914509782,0.008549021802
emacs,editor,1985-04-18,0.0661653696,0.9785753108,0.02142468925
git,vcs,2005-04-07,0.0586644642,0.9769026585,0.02309734146
httpd,webserver,1996-07-03,0.04998876099,0.9895440806,0.01045591936
nginx,webserver,2002-08-06,0.03555532226,0.9939657214,0.006034278644
vim,editor,1991-11-02,0.03138479491,0.9782511958,0.02174880418
